Company Name,ISO Country Code,Country,City,Address,NACE Rev. 2 Code principal,"NACE Principal Rev. 2, description",Sector,Main activity,Description in Original language,Description in English,Website,Operating result [=EBIT] mEUR 2021,Operating result [=EBIT] mEUR 2020,Operating result [=EBIT] mEUR 2019,Turnover mEUR 2021,Turnover mEUR 2020,Turnover mEUR 2019,Availability of financial data,2 years of consecutive losses,Average loss over 3 years,Additional Websites,Meta Title,Meta Description,Meta Keywords,Additional Meta Title,Additional Meta Description,Additional Meta Keywords,Translated Meta Title,Translated Meta Description,Translated Additional Meta Title,Translated Additional Meta Description
PL-CC SP. Z O.O.,PL,Pologne,GOSPODARZ,,4771,Commerce de détail d'habillement en magasin spécialisé,,,,,www.pakolorente.eu,1,0,0,6,5,8,YES,NO,NO,,,,,,,,,,,
TRITON,RU,Fédération de Russie,YAKUTSK,UL. LERMONTOVA D. 25,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Operates as other miscellaneous store retailer,Retail,,Operates as other miscellaneous store retailer [source: Bureau van Dijk],www.triton.ru,1,1,1,6,6,8,YES,NO,NO,,,,,,,,,,,
VALENTI MULTISTORE S.R.L.,IT,Italie,ROGNO,VIA SANTA RITA DA CASCIA 5,4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the wholesale and retail distribution of a general line of new clothing for men, women, and children",Wholesale; Retail,COMMERCIO AL DETTAGLIO DI CONFEZIONI PER ADULTI,"Engaged in the wholesale and retail distribution of a general line of new clothing for men, women, and children [source: Bureau van Dijk]",www.tankfashion.com,1,0,0,6,4,6,YES,NO,NO,,Tank Fashion Abbigliamento e Moda Donna - Tank Fashion,Scopri le nuove collezioni e promozioni donna 2025 su Tank Fashion. Acquista online il tuo modello preferito della collezione primavera - estate!,,,,,Tank Fashion Clothing and Fashion Women - Tank Fashion,Discover the new 2025 women's collections and promotions on Tank Fashion. Buy your favorite model of the Spring - Summer collection online!,,
JOYERIA AURELIO MARCOS SL,ES,Espagne,MALAGA,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,Venta al detalle de artículos de joyería y relojería.,,www.joyeriamarcos.com,1,1,1,6,5,5,YES,NO,NO,,▷ Joyería Marcos | Relojería y Joyería de lujo en Málaga,"En Joyería Marcos combinamos innovación, diseño y calidad de las mejores marcas. Descubra nuestra joyería y relojería de lujo en Málaga",,,,,▷ Marcos jewelry | Watchmaking and luxury jewelry in Malaga,"In Marcos jewelry we combine innovation, design and quality of the best brands. Discover our luxury jewelry and watchmaking in Malaga",,
TEBRO SRL,IT,Italie,ROMA,VIA DEI PREFETTI 46,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in retail trade of articles of knitwear for men and women and household linen,Retail,"COMMERCIO AL DETTAGLIO DI BIANCHERIA PERSONALE, MAGLIERIA, CAMICIE",Engaged in retail trade of articles of knitwear for men and women and household linen [source: Bureau van Dijk],www.tebro.it,0,0,0,6,5,6,YES,NO,NO,tebro.it,TEBRO – Biancheria dal 1867,,,TEBRO – Biancheria dal 1867,,,Tebro - Linen from 1867,,Tebro - Linen from 1867,
"ANTONIO RODRIGUES MOTA & FILHOS, LDA",PT,Portugal,PONTA DELGADA,,4751,Commerce de détail de textiles en magasin spécialisé,Operates as a drug store engaged in the retail sale of pharmaceutical goods,Retail,"Comércio a retalho de têxteis, em estabelecimentos especializados",Operates as a drug store engaged in the retail sale of pharmaceutical goods [source: Bureau van Dijk],www.euromotas.com,0,0,0,6,6,7,YES,NO,NO,,Error,,,,,,Error,,,
PRZEDSIEBIORSTWO PRODUKCYJNO-HANDLOWE ELWIX SP. Z O.O.,PL,Pologne,LUBLIN,,4771,Commerce de détail d'habillement en magasin spécialisé,,,,,www.elwix.pl,1,0,0,6,5,7,YES,NO,NO,,"Sklep Wrangler, Lee, Levi's — Elwix.pl — Odzież męska i damska!","Wrangler, Levi's, Lee i Mustang. Poznaj markowe spodnie, kurtki, bluzy, koszule Wrangler, jeansy Levi's i Lee. Oryginalna odzież męska i damska — darmowa dostawa!","Wrangler, Levis, Lee, Levi's Vans, odzież męska i damska, moda",,,,"Wrangler store, Lee, Levi's - elwix.pl - men's and women's clothing!","Wrangler, Levi's, Lee and Mustang. Meet the branded pants, jackets, sweatshirts, Wrangler shirts, Jeansy Levi's and Lee. Original men's and women's clothing - free delivery!",,
MULLBECK AB,SE,Suède,GOTEBORG,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail distribution of knitted and crocheted apparel,Retail,"Bolaget skall bedriva försäljning av kläder, väskor och stövlarävensom idka därmed förenlig verksamhet.","Bolaget skall bedriva forsaljning av klader, vaskor och stovlaravensom idka darmed forenlig verksamhet.",www.mullbeck.se,0,-1,0,6,7,8,YES,YES,,,403 Forbidden,,,,,,403 Forbidden,,,
FCR FRANCONVILLE,FR,France,FRANCONVILLE,,4771,Commerce de détail d'habillement en magasin spécialisé,,,"Achat, vente de tout article se rapportant -directement ou indirectement- au secteur de l'habillement, la participation de la société -par tous moyens- directement ou indirectement, dans toutes opérations pouvant se rattacher à son objet par voie de création de sociétés nouvelles, d'apport, de souscription ou achat de titres ou droits sociaux, de fusion ou autrement, de création, d'acquisition, de location, de prise en location-gérance de tous fonds de commerce ou d'établissements. la prise, l'acquisition, l'exploitation ou la cession de tous procédés et brevets concernant Ces activités.",,,1,0,1,6,6,7,YES,NO,NO,,,,,,,,,,,
OLIMPINVEST,RU,Fédération de Russie,SOCHI,,4771,Commerce de détail d'habillement en magasin spécialisé,,,,,,1,0,0,6,5,8,YES,NO,NO,,,,,,,,,,,
SAVVA,RU,Fédération de Russie,SAINT-PETERSBURG,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,,,,,fondsavva.ru,0,0,1,6,4,8,YES,NO,NO,,"Главная | Фонд ""Савва""",,,,,,"Home | Foundation ""Savva""",,,
PIRETTI ANTICHITA' S.R.L.,IT,Italie,BOLOGNA,GALLERIA CAMILLO BENSO CONTE DI CAVOUR 7/F,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,,www.piretti.it,0,0,0,6,6,7,YES,NO,NO,,Home - Piretti Orologi e Gioielli,,,,,,Home - Piretti watches and jewels,,,
UNION MAGAZZINI MODA - S.R.L.,IT,Italie,TERRANUOVA BRACCIOLINI,VIA POGGILUPI 420,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation of a chain of family clothing stores,Retail,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,Engaged in the operation of a chain of family clothing stores [source: Bureau van Dijk],www.porcellottimoda.com,0,0,0,6,4,7,YES,NO,NO,,"Porcellotti Moda | Terranuova Bracciolini, Bibbiena e Arezzo","Porcellotti Moda a Terranuova Bracciolini, Bibbiena e Arezzo è abbigliamento casual ed elegante per uomo, donna e bambino. Scopri le nuove promozioni!","abbigliamento firmato, abbigliamento uomo, abbigliamento donna, abbigliamento ragazzi",,,,"Porcellotti Moda | Terranuova Bracciolini, Bibbiena and Arezzo","Porcellotti Moda in Terranuova Bracciolini, Bibbiena and Arezzo is casual and elegant clothing for men, women and children. Discover the new promotions!",,
OESTFOLD MOTE AS,NO,Norvège,TOENSBERG,SJOEVEIEN 6,4771,Commerce de détail d'habillement en magasin spécialisé,Operates as a clothing and apparel store,Retail,"HANDEL, SAMT ALL ANNEN VERDISKAPENDE VIRKSOMHET.",Operates as a clothing and apparel store [source: Bureau van Dijk],,1,1,1,6,5,5,YES,NO,NO,,,,,,,,,,,
VITAPUR D.O.O.,HR,Croatie,ZAGREB,,4751,Commerce de détail de textiles en magasin spécialisé,,,,,www.vitapur.hr,0,0,0,6,5,5,YES,YES,,vitapur.hr,Vitapur | Kvalitetni i povoljni proizvodi za dom - Uvijek povoljne cijene! - Vitapur,"U Vitapur online trgovini možete pronaći odlične ponude proizvoda za Vaš dom! Provjerite vrhunske hibridne madrace, nadmadrace, jastuke, pokrivače, Svilanit posteljinu, Rosmarino posuđe i male kućanske aparate, Svilanit ručnike i kupaonske ogrtače, vrhunske proizvode za čišćenje, putne kofere...",,Vitapur | Kvalitetni i povoljni proizvodi za dom - Uvijek povoljne cijene! - Vitapur,"U Vitapur online trgovini možete pronaći odlične ponude proizvoda za Vaš dom! Provjerite vrhunske hibridne madrace, nadmadrace, jastuke, pokrivače, Svilanit posteljinu, Rosmarino posuđe i male kućanske aparate, Svilanit ručnike i kupaonske ogrtače, vrhunske proizvode za čišćenje, putne kofere...",,Vitapur | Quality and favorable home products - always favorable prices! - Vitapur,"In Vitapur Online Store you can find great product offers for your home! Check out top hybrid mattresses, mattresses, pillows, blankets, silk bedding, rosmarin dishes and small household appliances, silk towels and bathroom robes, top cleaning products, travel suitcases ...",Vitapur | Quality and favorable home products - always favorable prices! - Vitapur,"In Vitapur Online Store you can find great product offers for your home! Check out top hybrid mattresses, mattresses, pillows, blankets, silk bedding, rosmarin dishes and small household appliances, silk towels and bathroom robes, top cleaning products, travel suitcases ..."
ANTINASU & RATSULA OY,FI,Finlande,PORI,,4771,Commerce de détail d'habillement en magasin spécialisé,"Operates as a clothing store engaged in the retail distribution of a general line of new clothing for men, women, and children",Retail,"Yhtiön toimialana on tekstiili- ja nahkatuotteiden, kosmetiikan ja jalkineiden sekä lahja- ja sisutustavaroiden tukku- ja vähittäiskauppa, tuonti ja vienti, alan kauppapalvelut, kahvilatoiminta sekä kiinteistöjen, asunto- ja liikehuoneistojen sekä toimialaan liittyvän irtaimen omaisuuden sekä erilaisen kuljetuskaluston kauppa ja vuokraustoiminta sekä arvopaperikauppa.","Yhtion toimialana on tekstiili- ja nahkatuotteiden, kosmetiikan ja jalkineiden seka lahja- ja sisutustavaroiden tukku- ja vahittaiskauppa, tuonti ja vienti, alan kauppapalvelut, kahvilatoiminta seka kiinteistojen, asunto- ja liikehuoneistojen seka toimialaan liittyvan irtaimen omaisuuden seka erilaisen kuljetuskaluston kauppa ja vuokraustoiminta seka arvopaperikauppa.",www.ratsula.fi,0,0,-1,6,6,8,YES,NO,YES,,Muotitavaratalo Ratsula | Palveleva vaateliike - Pori,"Ainutlaatuinen muotitavaratalo keskellä Poria. Ratsula on palveleva vaateliike jo neljännessä sukupolvessa ja neljässä kerroksessa. Porin laajin valikoima vaatteita, kenkiä, laukkuja ja muita asusteita.","vaateliike, pori, ratsula, muotitavaratalo, takit, kengät, laukut, muoti, kosmetiikka, korut, kahvila, lounas, sisustus, alusasut, pukeutumisneuvoja",,,,Fashion Store Ratsula Serving clothing store - Pori,"Unique fashion store in the middle of Pori. Ratsula is a serving clothing store already in the fourth generation and on four floors. Pori's widest selection of clothes, shoes, bags and other accessories.",,
TIMMERMANS,BE,Belgique,BELSELE,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of footwear and leather goods,Retail,,Engaged in the retail sale of footwear and leather goods [source: Bureau van Dijk],www.timmermans.be,0,-1,-1,6,5,7,YES,YES,,,"Lifestyle, Shoes & Bags | Online én in Sint-Niklaas","Zoek je schoenen, kleding of een handtas? Casual, stijlvol en comfortabel? Shop online of geniet van de vriendelijke, persoonlijke bediening in onze winkel.",,,,,"Lifestyle, Shoes & Bags | Online and in Sint-Niklaas","Are you looking for shoes, clothing or a handbag? Casual, stylish and comfortable? Shop online or enjoy the friendly, personal service in our store.",,
MAMIC 1970 D.O.O.,HR,Croatie,ZAGREB,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,,,mamic.hr,1,1,1,6,5,4,YES,NO,NO,,Mamić 1970 | Celebrating the Wonder of Life,"Explore the world of luxury watches and jewelry. Official Retailer of Rolex, Tudor, Chaumet, Damiani, Messika. Official Rolex Service Centre.",,,,,Mamić 1970 | Celebrating the Wonder of Life,"Explore the world of luxury watches and jewelry. Official Retailer of Rolex, Tudor, Chaumet, Damiani, Messika. Official Rolex Service Centre.",,
POLARIS - S.R.L.,IT,Italie,PORTO SAN GIORGIO,VIA ENRICO MEDI 6,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,"Engaged in the retail trade of shoes, clothes and jewelry",Retail,COMMERCIO AL DETTAGLIO DI CALZATURE E ACCESSORI,"Engaged in the retail trade of shoes, clothes and jewelry [source: Bureau van Dijk]",,0,-1,0,6,5,8,YES,NO,YES,,,,,,,,,,,
ILIC-TRGOVINA D.O.O.,BA,Bosnie-Herzégovine,ZVORNIK,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,,,,Retail sale of footwear and leather goods in specialised stores,www.solekomerc.co.rs,1,0,0,6,5,6,YES,NO,NO,,Sole Komerc!,,,,,,Sole Comerc!,,,
VACCARI GIOIELLI SRL,IT,Italie,REGGIO NELL'EMILIA,VIA EMILIA SAN PIETRO 27/B,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,,www.vaccarigioielli.com,1,1,1,6,6,6,YES,NO,NO,vaccarigioielli.com,Home - Vaccari,,,Home - Vaccari,,,Home - Vaccari,,Home - Vaccari,
SPORT CHIC,FR,France,NEUILLY SUR SEINE,,4771,Commerce de détail d'habillement en magasin spécialisé,,,"Vente événementielle en show room. réalisation, organisation de ventes privées sur invitation.",,,1,0,0,6,5,4,YES,NO,NO,,,,,,,,,,,
CHARGET S.R.L.,IT,Italie,SAN GIULIANO TERME,VIA GIOSUE' CARDUCCI 64/A,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation and management of clothing stores,Retail,COMMERCIO AL DETTAGLIO DI CONFEZIONI PER ADULTI,Engaged in the operation and management of clothing stores [source: Bureau van Dijk],www.charget.it,0,0,0,6,6,12,YES,NO,NO,,Charget | Abbigliamento | Italia,"Charget è un brand di abbigliamento donna fresco e dinamico. Scopri la nostra Selezione Esclusiva. Acquista ora! Pagamento Sicuro. Stili: Casual, Elegante, Sportivo.","charget, fashion, abbigliamento, chargetofficial, donna, trendy, shop, shop online, toscana, negozi",,,,Charte | Clothing | Italy,"Charte is a fresh and dynamic women's clothing brand. Discover our exclusive selection. Buy now! Safe payment. Styles: casual, elegant, sporty.",,
SI ANELLI S.R.L.,IT,Italie,RAVENNA,VIA CAMILLO BENSO CONTE DI CAVOUR 2,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,,www.sianelli.it,0,0,0,6,5,8,YES,NO,NO,,Si Anelli - Gioielli e Orologi - Ravenna - Longines & Montblanc boutique,"Si Anelli nasce a Ravenna. Qualità ed affidabilità caratterizzano il nostro lavoro, con un’esposizione che vanta le migliori marche del settore.",,,,,YES Rings - Jewels and Watches - Ravenna - Longines & Montblanc Boutique,"Si rings born in Ravenna. Quality and reliability characterize our work, with an exhibition that boasts the best brands in the sector.",,
LA VESTI BENE S.R.L.,IT,Italie,SOLESINO,VIA NAZIONALE 1269 INT.2,4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the retail distribution of a general line of new clothing for men, women, and children",Retail,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,"Engaged in the retail distribution of a general line of new clothing for men, women, and children [source: Bureau van Dijk]",www.lavestibene.it,0,0,0,6,4,7,YES,NO,NO,,,,,,,,,,,
SQUALO S.R.L.,IT,Italie,MILANO,VIA ALFREDO CAPPELLINI 23,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail distribution of men's and women's clothing and furnishings,Retail,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,Engaged in the retail distribution of men's and women's clothing and furnishings [source: Bureau van Dijk],www.furla.com,0,0,1,6,5,6,YES,NO,NO,,"Furla | Boutique en ligne et site officiel - sacs, portefeuilles et accessoires","Découvrez les collections Furla: sacs, portefeuilles et accessoires. Rendez-vous dans la boutique en ligne pour bénéficier d’offres exclusives et de retours gratuits.",,,,,"Furla | Online store and official site - bags, wallets and accessories","Discover the Furla collections: bags, wallets and accessories. Go to the online store to benefit from exclusive offers and free feedback.",,
BLU SRL,IT,Italie,CARPI,VIA LAGO SCAFFAIOLO 29,4771,Commerce de détail d'habillement en magasin spécialisé,,,"COMMERCIO AL DETTAGLIO DI BIANCHERIA PERSONALE, MAGLIERIA, CAMICIE",Clothing retailer [source: Bureau van Dijk],www.blusrl.eu,0,0,0,6,5,7,YES,NO,NO,www.bluitaliasrl.com,,,,,,,,,,
LACHU E HIJOS SOCIEDAD LIMITADA,ES,Espagne,LAS PALMAS DE GRAN CANARIA,,4771,Commerce de détail d'habillement en magasin spécialisé,,,Venta al menor de moda y complementos.,,www.yogijeans.com,1,1,1,6,5,6,YES,NO,NO,,Yogi Jeans - Tienda de Ropa Online en Canarias,Tienda de Ropa Online en Canarias. Trabajamos con las mejores marcas del mercado. Envío en Gran Canaria 24h / Resto de Islas 72h,,,,,Yogi jeans - Online clothing store in the Canary Islands,Online clothing store in the Canary Islands. We work with the best brands on the market. Shipping in Gran Canaria 24h / Rest of Islands 72h,,
LE FOLLIE S.R.L.,IT,Italie,AFFI,VIA PASCOLI 36,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI CALZATURE E ACCESSORI,,www.lefollieshop.com,0,0,0,6,5,7,YES,NO,NO,,Le Follie Shop - Fashion & Style - Fall Winter 2024,"Online sale of footwear, clothing, bags and fashion accessories. Men's and women's footwear, women's clothing and men's and women's fashion accessories.",,,,,Le Follie Shop - Fashion & Style - Fall Winter 2024,"Online sale of footwear, clothing, bags and fashion accessories. Men's and women's footwear, women's clothing and men's and women's fashion accessories.",,
JOSE LUIS OLAZABAL OZCARIZ SL,ES,Espagne,DONOSTIA/SAN SEBASTIAN,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,Explotacion joyería.,,www.joyeriaolazabal.com,1,1,1,6,4,4,YES,NO,NO,,"Joyeria Relojeria San Sebastian - Concesionario Oficial de Cartier, Omega, Tudor, Longines, Baume & Mercier, Hamilton, Bell&Ross, Dinh Van, Joyas Olazabal en Donostia San Sebastian","Relojeria - Joyeria Olazabal. Concesionario Oficial de Cartier, Omega, Tudor, Longines, Baume & Mercier, Hamilton, Bell&Ross, Dinh Van, Joyas Olazabal en Donostia San Sebastian.",,,,,"Jewelry Watches San Sebastian - Official Cartier, Omega, Tudor, Longines, Baume & Mercier, Hamilton, Bell & Ross, Dinh Van, Olazabal jewelry in Donostia San Sebastian","Watchman - Olazabal Jewelry. Official Cartier, Omega, Tudor, Longines, Baume & Mercier, Hamilton, Bell & Ross, Dinh Van, Olazabal jewelry in Donostia San Sebastian.",,
VM S.R.L.,IT,Italie,FOSSALTA DI PORTOGRUARO,VIA IPPOLITO NIEVO 24,4771,Commerce de détail d'habillement en magasin spécialisé,"Operates as a clothing store engaged in the retail distribution of a general line of new clothing for men, women, and children",Retail,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,"Operates as a clothing store engaged in the retail distribution of a general line of new clothing for men, women, and children [source: Bureau van Dijk]",www.magazzinivoltolina.com,0,0,1,6,5,7,YES,NO,NO,www.vm-italia.com,,,,,,,,,,
FRISCO INTERNATIONAL CLOTHING SA,ES,Espagne,MALAGA,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing products in Spain,Retail,"Explotación de tiendas de ropa de hombre, mujer y niño.",Engaged in the retail sale of clothing products in Spain [source: Bureau van Dijk],www.fcandcompany.com,0,-1,0,6,4,7,YES,YES,,fcandcompany.com,,,,,,,,,,
"CASA DAS PELES - CONFECCOES, S.A.",PT,Portugal,LISBOA,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the management and operation of family clothing stores,Retail,Grossista e retalhista de confeções em pele e marroquinarias - 100%,Engaged in the management and operation of family clothing stores [source: Bureau van Dijk],www.casadaspeles.pt,0,0,2,6,5,10,YES,NO,NO,,"Criar, confeccionar e comercializar artigos em pele | CdP Casa das Peles","A casa das Peles Cria, confecciona e comercializa artigos em pele com uma matéria prima de excelência",,,,,"Create, make and market skin articles | CDP Casa das Peles","Casa das Peles creates, makes and markets skin articles with a raw material of excellence",,
ARTE S.R.L.,IT,Italie,TREVIGLIO,VICOLO ANTONIO GENDERINI 1,4771,Commerce de détail d'habillement en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI CONFEZIONI PER ADULTI,,www.nightmarket.it,0,0,0,6,6,7,YES,NO,NO,www.bertoliniarte.it,,,,bertoliniarte.it,Ce domaine est peut-être à vendre!,,,,bertoliniarte.it,This area may be for sale!
NNCK ITALIA S.R.L.,IT,Italie,CARPI,,4771,Commerce de détail d'habillement en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI CONFEZIONI PER ADULTI,,corporate.nafnaf.it,0,-1,0,6,4,5,YES,YES,,www.nafnaf.it,,,,,,,,,,
LE RELAIS NORD EST ILE DE FRANCE,FR,France,PLOISY,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the creation of jobs for people in situations of exclusion through the collection and recycling of textiles and paper,Services,Création d'emplois pour les personnes en situation d'exclusion par le biais de la collecte et de la valorisation de textiles et papiers.,Engaged in the creation of jobs for people in situations of exclusion through the collection and recycling of textiles and paper [source: Bureau van Dijk],www.lerelais.org,0,-1,0,6,4,5,YES,NO,YES,www.lerelais-soissons.org,le Relais,"Le Relais est la seule filière offrant un service de collecte des dons en porte à porte ou conteneur, de tri et de recyclage de vêtement, chaussure et textile d'occasion entièrement dédiée à la lutte contre l'exclusion par la création d'emplois durables. Vous trouverez sur ce site la liste des endroits où donner vos vêtements. Vous pouvez nous rendre visite dans nos boutiques d'occasion Ding Fring. Notre vocation : mettre léconomie au service de lhomme.","le relais,emmaüs,collecte vetement, donner vêtement,conteneur vetement,dépôt de vêtements,recyclage textile,isolant,insertion,donner chaussure,solidarite,emploi,scop, economie solidaire,exclusion,achat chiffon,vente chiffon",,,,The relay,"The relay is the only sector offering a door collection service in door or container, sorting and recycling of used clothing, shoe and textiles entirely dedicated to the fight against exclusion by the creation of sustainable jobs . You will find on this site the list of places to give your clothes. You can visit us in our Ding Fring Used Boutiques. Our vocation: put the economy at the service of man.",,
LIMITED LIABILITY COMPANY SUNSHINE,RU,Fédération de Russie,MOSCOW,,4771,Commerce de détail d'habillement en magasin spécialisé,,,,,suns.ru,1,0,0,6,4,6,YES,NO,NO,,Языковая школа в Барнауле — «Саншайн» | Языковая школа «Саншайн»,Саншайн — это детский языковой центр дополнительного образования. В настоящее время это один из ведущих центров в сфере отдыха и развития детей в Алтайском крае.,Главная,,,,"Language school in Barnaule — “Sunshain” | Language school ""Sanshain""","Sanshain is a children's language center of additional education. Currently, this is one of the leading centers in the field of recreation and development of children in the Altai Territory.",,
GIOIELLERIA SALVINI - S.R.L.,IT,Italie,MASSA,VIALE EUGENIO CHIESA 7,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,GIOIELLERIA,,gioielleriesalvini.it,1,0,0,6,4,6,YES,NO,NO,www.gioielleriasalvini.it,,,,Gioielleria Salvini | Rivenditore Autorizzato Rolex,"Gioielleria Salvini, a Massa e con boutique Rolex a Forte dei Marmi, dal 1958 orologi e gioielli di alta gamma e professionalità.","Salvini, Forte di Marmi, Rolex a Forte dei Marmi, Rivenditore Rolex, Rivenditore Ufficiale Rolex, Orologi di lusso, Orologi Svizzeri, Assistenza Rolex, Gioielleria, Gioielli",,,Salvini jewelry | Rolex authorized dealer,"Salvini jewelery, in Massa and with Rolex boutiques in Forte dei Marmi, since 1958 watches and high -end jewels and professionalism."
LAHDEN KELLOKESKUS OY,FI,Finlande,LAHTI,PL 222,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,"Engaged in the retail sale of jewelry, watches, precious stones, and precious metals",Retail,"Yhtiön toimialana on kello- ja kulta-alaan kuuluvien tuotteiden tukku- ja vähittäiskauppa sekä alan huolto- ja korjaustoiminta. Edelleen yhtiön toimialana on koti- ja ulkomaisten kiinteistöjen, asunto-, kiinteistö-, loma- ja arvopaperiosakkeiden, osuuksien ja oikeuksien omistaminen, hallinnointi, osto, myynti ja vuokraus.","Yhtion toimialana on kello- ja kulta-alaan kuuluvien tuotteiden tukku- ja vahittaiskauppa seka alan huolto- ja korjaustoiminta. Edelleen yhtion toimialana on koti- ja ulkomaisten kiinteistojen, asunto-, kiinteisto-, loma- ja arvopaperiosakkeiden, osuuksien ja oikeuksien omistaminen, hallinnointi, osto, myynti ja vuokraus.",www.timanttiset.fi,0,0,0,6,5,4,YES,NO,NO,www.kalevalashop.com,Timanttiset - kellot ja korut netistä | Timanttiset.fi,Tervetuloa Timanttiset -verkkokauppaan! Liity veloituksetta Timanttisten Kulta-asiakkaaksi - saat 20% alennusta seuraavasta verkkokauppaostoksestasi,"kellot, korut, kellot netistä, korut netistä",Kalevala - buy Kalevala jewelry from the official online store,You can find the widest selection of Kalevala jewelry in the official online store of Kalevala jewelry. Fast delivery directly from the factory - order now!,,Diamond - watches and jewelry online Timanttiset.fi,Welcome to the Diamonds online store! Join free of charge as a diamond gold customer - get a 20% discount on your next e -commerce purchase,Kalevala - buy Kalevala jewelry from the official online store,You can find the widest selection of Kalevala jewelry in the official online store of Kalevala jewelry. Fast delivery directly from the factory - order now!
TIFOTEX SP. Z O.O.,PL,Pologne,ANDRYCHOW,,4771,Commerce de détail d'habillement en magasin spécialisé,,,,,www.tifo.com.pl,0,0,0,6,6,10,YES,YES,,,,,,,,,,,,
PROIEZIONE SRL,IT,Italie,MILANO,VIA ALESSANDRO MANZONI 44,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of specialized lines of apparel and accessories,Retail,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,Engaged in the retail sale of specialized lines of apparel and accessories [source: Bureau van Dijk],www.dmagazine.it,0,0,0,6,4,8,YES,NO,NO,www.dmag.eu,,,,DMAG Designer Fashion Outlet,DMAG Designer Fashion Outlet,,,,DMAG Designer Fashion Outlet,DMAG Designer Fashion Outlet
JOSE SANGIL SL,ES,Espagne,GANDIA,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,"Explotación de joyería, relojería",,www.prjoyeros.com,1,1,0,6,5,6,YES,NO,NO,,Joyería Online - Pedro Rodriguez Joyeros - Joyería en Gandia,"Descubre la exclusividad y elegancia en la joyería online de PR Joyeros. Encuentra anillos, pulseras, collares y más, con diseños únicos y personalizados.",,,,,Online Jewelry - Pedro Rodriguez Joyeros - Jewelry in Gandia,"Discover the exclusivity and elegance in the online jewelry of PR JEOPLES. Find rings, bracelets, necklaces and more, with unique and personalized designs.",,
NOSSA S.R.L.,IT,Italie,VARESE,VIALE BELFORTE 315,4771,Commerce de détail d'habillement en magasin spécialisé,,,"COMMERCIO AL DETTAGLIO DI BIANCHERIA PERSONALE, MAGLIERIA, CAMICIE",,,0,0,0,6,4,6,YES,NO,NO,,,,,,,,,,,
ZANABONI S.R.L.,IT,Italie,ARONA,VIA CAMILLO BENSO CONTE DI CAVOUR 97,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,,www.zanabonigioielli.it,1,1,1,6,5,5,YES,NO,NO,,Zanaboni,,,,,,Zanaboni,,,
